plants,LED,,,Parameters,,,,,,,,,,,,,,,,,,,,
,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,,,
lettuce,50,,50,,,136.3,7.02,9.1,0.43,,,,,,,,,,,,,,,
lettuce,33.3333,,33.3333,,,164.1,7.97,13.5,0.62,,,,,,,,,,,,,,,
tomato,66%,,33%,,,26.55,2.57,2.31,0.12,76.66,,,,,,,,,,,,,,
tomato,66%,33%,,,,29.13,2.21,1.01,0.05,114.33,,,,,,,,,,,,,,
tomato,66%,,33%,,,33.29,3.36,1.73,0.36,69.67,,,,,,,,,,,,,,
tomato,66%,33%,,,,27.98,2.39,0.98,0.07,119,,,,,,,,,,,,,,
Dropwort,100,,,3.89,,,,,,,,,,,,,,,,,,,,
Dropwort,,,100,4.57,,,,,,,,,,,,,,,,,,,,
Dropwort,,100,,4.14,,,,,,,,,,,,,,,,,,,,
Dropwort,90,,10,4.28,,,,,,,,,,,,,,,,,,,,
Dropwort,80,,20,4.36,,,,,,,,,,,,,,,,,,,,
Dropwort,70,,30,4.86,,,,,,,,,,,,,,,,,,,,
Dropwort,60,,40,4.45,,,,,,,,,,,,,,,,,,,,
Dropwort,90,10,,4.17,,,,,,,,,,,,,,,,,,,,
Dropwort,80,10,10,3.73,,,,,,,,,,,,,,,,,,,,
Dropwort,70,10,20,4.75,,,,,,,,,,,,,,,,,,,,
Dropwort,60,10,30,4.24,,,,,,,,,,,,,,,,,,,,
Dropwort,100,,0,4.25,,,,,,,,,,,,,,,,,,,,
Oncidium,100,,,,,,0.043,,,3.925,,1.825,,,,,,,,,,,,
Oncidium,90,,10,,,,0.035,,,3.375,,1.425,,,,,,,,,,,,
Oncidium,80,,20,,,,0.059,,,3.5,,1.95,,,,,,,,,,,,
Oncidium,70,,30,,,,0.059,,,3.8,,1.85,,,,,,,,,,,,
Oncidium,,,100,,,,0.026,,,2.675,,1.575,,,,,,,,,,,,
Oncidium,80,10,10,,,,0.046,,,3.35,,1.425,,,,,,,,,,,,
"Brassica
chinensis",40,30,30,,,18.54,22.24,,,,3.25,,,,,,,,,,,,,
green lettuce ,27,46.9,26.1,,,,,12.89,0.63,,,,,,,,,,,,,,,
green lettuce ,20.4,33.9,45.7,,,,,12.54,0.66,,,,,,,,,,,,,,,
green lettuce ,17.7,0.6,81.7,,,,,10.67,0.46,,,,,,,,,,,,,,,
green lettuce ,15.7,0.5,80.4,,,,,10.83,0.56,,,,,,,,,,,,,,,
green lettuce ,14.8,5,80.2,,,,,11.61,0.55,,,,,,,,,,,,,,,
green lettuce ,13.9,0.4,85.7,,,,,13.56,0.62,,,,,,,,,,,,,,,
purple lettuce,27,46.9,26.1,,,,,6.91,0.31,,,,,,,,,,,,,,,
purple lettuce,20.4,33.9,45.7,,,,,8.15,0.4,,,,,,,,,,,,,,,
purple lettuce,17.7,0.6,81.7,,,,,9.32,0.4,,,,,,,,,,,,,,,
purple lettuce,15.7,0.5,80.4,,,,,9.27,0.42,,,,,,,,,,,,,,,
purple lettuce,14.8,5,80.2,,,,,8.05,0.36,,,,,,,,,,,,,,,
purple lettuce,13.9,0.4,85.7,,,,,10.06,0.45,,,,,,,,,,,,,,,
